timesteps,stage_timesteps,reward_mean,episode_len_mean,stage,reward_smooth,episode_len_smooth
2048.0,2048.0,-55.82727272727273,178.54545454545453,Treino 5x5,-55.82727272727273,178.54545454545453
4096.0,4096.0,-52.54347826086956,174.0,Treino 5x5,-54.185375494071145,176.27272727272725
6144.0,6144.0,-51.40833333333333,169.91666666666666,Treino 5x5,-53.25969477382521,174.15404040404042
8192.0,8192.0,-49.03061224489795,165.46938775510205,Treino 5x5,-52.2024241415934,171.9828772418058
10240.0,10240.0,-50.36721311475409,167.44262295081967,Treino 5x5,-51.83538193622553,171.07482638360858
12288.0,12288.0,-49.34594594594594,165.45945945945945,Treino 5x5,-51.4204759378456,170.1389318962504
14336.0,14336.0,-49.14767441860465,164.52325581395348,Treino 5x5,-51.09579000652547,169.33669245592228
16384.0,16384.0,-48.588999999999984,163.4,Treino 5x5,-50.78244125570978,168.59460589893197
18432.0,18432.0,-49.51599999999999,163.97,Treino 5x5,-50.64172556063092,168.08076079905064
20480.0,20480.0,-49.54200000000001,163.28,Treino 5x5,-49.94336192426728,166.38459918288902
22528.0,22528.0,-49.4,163.5,Treino 5x5,-49.594086561948444,165.21793251622236
24576.0,24576.0,-48.929,162.64,Treino 5x5,-49.31860508046695,164.40941399770384
26624.0,26624.0,-43.123000000000005,152.74,Treino 5x5,-48.66220371992274,162.9950375804703
28672.0,28672.0,-39.228,147.27,Treino 5x5,-47.42451337383895,160.75363503037923
30720.0,30720.0,-38.366,145.24,Treino 5x5,-46.20451937984496,158.5070284237726
32768.0,32768.0,-32.576,136.66,Treino 5x5,-44.36322222222222,155.4111111111111
34816.0,34816.0,-34.001,137.53,Treino 5x5,-42.742333333333335,152.5366666666667
36864.0,36864.0,-31.482000000000003,132.97,Treino 5x5,-40.73855555555556,149.0922222222222
38912.0,38912.0,-30.898000000000003,132.16,Treino 5x5,-38.667,145.63444444444445
40960.0,40960.0,-30.562,131.02,Treino 5x5,-36.57388888888889,142.02555555555557
43008.0,43008.0,-29.825,130.05,Treino 5x5,-34.45122222222223,138.40444444444444
45056.0,45056.0,-27.042,125.33,Treino 5x5,-32.66444444444444,135.35888888888888
47104.0,47104.0,-25.2,123.31,Treino 5x5,-31.105777777777778,132.69666666666666
49152.0,49152.0,-25.987,124.0,Treino 5x5,-29.730333333333338,130.33666666666667
51200.0,51200.0,-26.77,124.1,Treino 5x5,-29.08522222222222,128.9411111111111
53248.0,53248.0,-24.651,120.61,Treino 5x5,-28.046333333333337,127.0611111111111
55296.0,55296.0,-23.963,118.4,Treino 5x5,-27.21088888888889,125.44222222222223
57344.0,57344.0,-24.608,118.63,Treino 5x5,-26.512,123.9388888888889
59392.0,59392.0,-20.27,110.89,Treino 5x5,-25.368444444444442,121.70222222222225
61440.0,61440.0,-21.714,113.92,Treino 5x5,-24.46722222222222,119.91000000000001
63488.0,63488.0,-21.331,113.85,Treino 5x5,-23.832666666666668,118.63444444444445
65536.0,65536.0,-23.362,117.08,Treino 5x5,-23.628444444444444,117.94222222222223
67584.0,67584.0,-17.71,107.77,Treino 5x5,-22.70877777777778,116.13888888888889
69632.0,69632.0,-20.694,112.65,Treino 5x5,-22.033666666666665,114.86666666666666
71680.0,71680.0,-21.11500000000001,113.38,Treino 5x5,-21.640777777777778,114.06333333333333
73728.0,73728.0,-18.463,109.8,Treino 5x5,-21.029666666666667,113.10777777777778
75776.0,75776.0,-18.130000000000003,109.23,Treino 5x5,-20.30988888888889,112.06333333333333
77824.0,77824.0,-20.825,113.45,Treino 5x5,-20.37155555555556,112.34777777777778
79872.0,79872.0,-25.093,119.86,Treino 5x5,-20.747,113.00777777777779
81920.0,81920.0,-26.075,121.88,Treino 5x5,-21.27411111111111,113.89999999999999
83968.0,83968.0,-25.801,121.9,Treino 5x5,-21.54511111111111,114.43555555555557
86016.0,86016.0,-23.613,118.57,Treino 5x5,-22.201,115.63555555555556
88064.0,88064.0,-21.125,115.3,Treino 5x5,-22.24888888888889,115.93
90112.0,90112.0,-23.572,119.64,Treino 5x5,-22.52188888888889,116.62555555555556
92160.0,92160.0,-19.54,113.7,Treino 5x5,-22.641555555555556,117.05888888888889
94208.0,94208.0,-15.583000000000002,106.25,Treino 5x5,-22.358555555555554,116.72777777777777
96256.0,96256.0,-14.342,103.56,Treino 5x5,-21.638222222222222,115.6288888888889
98304.0,98304.0,-14.880000000000004,104.18,Treino 5x5,-20.503444444444444,113.88666666666667
100352.0,100352.0,-8.635,93.68,Treino 5x5,-18.565666666666665,110.75333333333333
102400.0,102400.0,-8.638,94.18,Treino 5x5,-16.658666666666665,107.67333333333335
104448.0,104448.0,-8.914,94.14,Treino 5x5,-15.025444444444446,104.9588888888889
106496.0,106496.0,-9.838,95.47,Treino 5x5,-13.771333333333335,102.75555555555556
108544.0,108544.0,-11.907,98.86,Treino 5x5,-12.475222222222222,100.44666666666667
110592.0,110592.0,-10.079,95.28,Treino 5x5,-11.424,98.4
112640.0,112640.0,-9.955000000000002,95.67,Treino 5x5,-10.79866666666667,97.22444444444444
114688.0,114688.0,-8.752,93.63,Treino 5x5,-10.177555555555555,96.12111111111112
116736.0,116736.0,-7.952999999999999,91.89,Treino 5x5,-9.40788888888889,94.75555555555555
118784.0,118784.0,-8.411999999999999,92.29,Treino 5x5,-9.383111111111111,94.60111111111112
120832.0,120832.0,-7.467000000000001,90.64,Treino 5x5,-9.253000000000002,94.20777777777778
122880.0,122880.0,-8.14,92.24,Treino 5x5,-9.167000000000002,93.99666666666667
124928.0,124928.0,-9.407,94.47,Treino 5x5,-9.119111111111112,93.88555555555556
126976.0,126976.0,-5.366999999999998,87.58,Treino 5x5,-8.392444444444443,92.63222222222221
129024.0,129024.0,-8.279,92.04,Treino 5x5,-8.192444444444444,92.27222222222223
131072.0,131072.0,-4.952000000000001,85.46,Treino 5x5,-7.636555555555556,91.13777777777779
133120.0,133120.0,-6.269000000000001,87.77,Treino 5x5,-7.360666666666666,90.48666666666666
135168.0,135168.0,-4.560000000000001,86.24,Treino 5x5,-6.983666666666667,89.85888888888888
137216.0,137216.0,-4.862,88.31,Treino 5x5,-6.589222222222222,89.41666666666667
139264.0,139264.0,-4.31,87.8,Treino 5x5,-6.238444444444444,89.10111111111111
141312.0,141312.0,-4.468999999999999,88.43,Treino 5x5,-5.830555555555556,88.67777777777776
143360.0,143360.0,-3.1630000000000003,86.22,Treino 5x5,-5.136777777777777,87.7611111111111
145408.0,145408.0,-3.3280000000000007,86.24,Treino 5x5,-4.910222222222222,87.61222222222221
147456.0,147456.0,-2.62,84.71,Treino 5x5,-4.281444444444444,86.79777777777778
149504.0,149504.0,-4.148000000000001,87.59,Treino 5x5,-4.192111111111112,87.03444444444443
151552.0,151552.0,-4.784,88.88,Treino 5x5,-4.027111111111111,87.15777777777778
153600.0,153600.0,-3.166999999999999,85.29,Treino 5x5,-3.872333333333333,87.05222222222223
155648.0,155648.0,-4.223,87.45,Treino 5x5,-3.801333333333333,86.95666666666665
157696.0,157696.0,-2.485999999999999,83.96,Treino 5x5,-3.5986666666666665,86.53
159744.0,159744.0,-2.083,82.87,Treino 5x5,-3.3335555555555554,85.91222222222221
161792.0,161792.0,-3.315,84.9,Treino 5x5,-3.350444444444444,85.76555555555555
163840.0,163840.0,-4.134,85.03,Treino 5x5,-3.44,85.63111111111112
165888.0,165888.0,-4.845999999999999,86.15,Treino 5x5,-3.687333333333333,85.7911111111111
167936.0,167936.0,-7.946999999999999,89.32,Treino 5x5,-4.109444444444445,85.98333333333332
169984.0,169984.0,-4.819,84.27,Treino 5x5,-4.113333333333333,85.47111111111111
172032.0,172032.0,-2.733,82.49,Treino 5x5,-4.065111111111111,85.16
174080.0,174080.0,-4.114,85.43,Treino 5x5,-4.053,84.93555555555557
176128.0,176128.0,-0.063,82.31,Treino 5x5,-3.783777777777778,84.75222222222222
178176.0,178176.0,0.3649999999999999,81.47,Treino 5x5,-3.5117777777777777,84.59666666666666
180224.0,180224.0,0.971,79.99,Treino 5x5,-3.035555555555556,84.05111111111111
182272.0,182272.0,3.806,74.56,Treino 5x5,-2.1533333333333333,82.88777777777779
184320.0,184320.0,4.397,72.76,Treino 5x5,-1.1263333333333334,81.4
186368.0,186368.0,4.808,71.22,Treino 5x5,0.2908888888888889,79.38888888888889
188416.0,188416.0,4.748999999999999,71.46,Treino 5x5,1.354,77.96555555555557
190464.0,190464.0,4.736000000000001,69.68,Treino 5x5,2.183888888888889,76.54222222222224
192512.0,192512.0,5.115999999999999,68.38,Treino 5x5,3.2094444444444443,74.64777777777778
194560.0,194560.0,6.343999999999999,65.78,Treino 5x5,3.9213333333333336,72.81111111111112
196608.0,196608.0,7.325999999999999,64.22,Treino 5x5,4.694777777777777,70.89444444444445
198656.0,198656.0,9.362,61.07,Treino 5x5,5.627111111111111,68.79222222222222
200704.0,200704.0,7.936,63.95,Treino 5x5,6.085999999999999,67.61333333333333
202752.0,202752.0,9.484000000000002,62.45,Treino 5x5,6.651222222222222,66.46777777777777
204800.0,204800.0,9.274,63.21,Treino 5x5,7.147444444444444,65.57777777777778
206848.0,206848.0,9.757,62.6,Treino 5x5,7.70388888888889,64.59333333333333
208896.0,208896.0,11.644999999999998,58.12,Treino 5x5,8.471555555555556,63.30888888888889
210944.0,210944.0,13.499999999999998,54.82,Treino 5x5,9.403111111111109,61.80222222222223
212992.0,212992.0,12.099999999999998,57.03,Treino 5x5,10.042666666666667,60.830000000000005
215040.0,215040.0,9.626,61.17,Treino 5x5,10.29822222222222,60.49111111111111
217088.0,217088.0,8.321,63.01,Treino 5x5,10.182555555555556,60.70666666666667
219136.0,219136.0,10.454999999999998,58.63,Treino 5x5,10.462444444444442,60.11555555555557
221184.0,221184.0,10.989,59.21,Treino 5x5,10.629666666666665,59.75555555555555
223232.0,223232.0,12.849999999999998,56.52,Treino 5x5,11.027,59.01222222222222
225280.0,225280.0,10.808,59.94,Treino 5x5,11.143777777777776,58.71666666666666
227328.0,227328.0,9.660000000000002,61.37,Treino 5x5,10.92322222222222,59.07777777777777
229376.0,229376.0,10.559,59.48,Treino 5x5,10.596444444444444,59.595555555555556
231424.0,231424.0,13.889,53.78,Treino 5x5,10.795222222222222,59.23444444444445
233472.0,233472.0,14.698000000000002,52.34,Treino 5x5,11.358777777777778,58.25333333333333
235520.0,235520.0,16.585,48.19,Treino 5x5,12.277,56.60666666666666
237568.0,237568.0,15.248,50.76,Treino 5x5,12.809555555555557,55.73222222222223
239616.0,239616.0,14.912,51.73,Treino 5x5,13.245444444444445,54.901111111111106
241664.0,241664.0,15.232,50.73,Treino 5x5,13.510111111111112,54.257777777777775
243712.0,243712.0,15.867,48.77,Treino 5x5,14.072222222222223,53.016666666666666
245760.0,245760.0,17.44,45.2,Treino 5x5,14.936666666666667,51.22
247808.0,247808.0,17.689,44.39,Treino 5x5,15.72888888888889,49.54333333333334
249856.0,249856.0,19.383000000000003,41.95,Treino 5x5,16.339333333333332,48.22888888888889
251904.0,251904.0,19.565,42.0,Treino 5x5,16.88011111111111,47.080000000000005
253952.0,253952.0,18.365,44.73,Treino 5x5,17.077888888888893,46.69555555555556
256000.0,256000.0,19.12,43.58,Treino 5x5,17.508111111111113,45.89777777777778
258048.0,258048.0,18.131,44.79,Treino 5x5,17.86577777777778,45.126666666666665
260096.0,260096.0,18.389,44.25,Treino 5x5,18.216555555555555,44.406666666666666
262144.0,262144.0,19.754,41.75,Treino 5x5,18.648444444444447,43.626666666666665
264192.0,264192.0,19.58,42.02,Treino 5x5,18.886222222222223,43.27333333333334
266240.0,266240.0,18.607,44.36,Treino 5x5,18.988222222222223,43.269999999999996
268288.0,268288.0,20.521000000000004,40.24,Treino 5x5,19.11466666666667,43.08
270336.0,270336.0,21.732,37.66,Treino 5x5,19.355444444444444,42.59777777777778
272384.0,272384.0,20.126,41.0,Treino 5x5,19.551111111111112,42.18333333333333
274432.0,274432.0,20.925000000000004,39.14,Treino 5x5,19.751666666666665,41.69
276480.0,276480.0,22.055000000000003,36.48,Treino 5x5,20.187666666666665,40.76666666666667
278528.0,278528.0,22.536,36.23,Treino 5x5,20.648444444444447,39.87555555555556
280576.0,280576.0,22.415999999999997,36.32,Treino 5x5,20.944222222222223,39.272222222222226
282624.0,282624.0,20.779,39.12,Treino 5x5,21.077444444444446,38.949999999999996
284672.0,284672.0,21.163,38.18,Treino 5x5,21.361444444444444,38.26333333333333
286720.0,286720.0,20.932,39.75,Treino 5x5,21.40711111111111,38.208888888888886
288768.0,288768.0,18.457,44.92,Treino 5x5,21.043222222222223,39.01555555555555
290816.0,290816.0,18.656,43.88,Treino 5x5,20.879888888888885,39.33555555555555
292864.0,292864.0,20.483,39.6,Treino 5x5,20.830777777777776,39.38666666666667
294912.0,294912.0,20.682,39.29,Treino 5x5,20.678222222222225,39.69888888888889
296960.0,296960.0,22.862,35.04,Treino 5x5,20.714444444444446,39.56666666666667
299008.0,299008.0,23.394,33.95,Treino 5x5,20.823111111111114,39.30333333333333
301056.0,301056.0,21.872999999999998,36.61,Treino 5x5,20.944666666666667,39.02444444444445
303104.0,303104.0,20.536,39.25,Treino 5x5,20.875,39.14333333333334
305152.0,305152.0,21.665000000000006,37.67,Treino 5x5,20.956444444444443,38.912222222222226
307200.0,307200.0,20.14,40.77,Treino 5x5,21.143444444444444,38.45111111111111
309248.0,309248.0,18.251,43.9,Treino 5x5,21.098444444444443,38.45333333333334
311296.0,311296.0,19.354,41.69,Treino 5x5,20.973,38.68555555555555
313344.0,313344.0,19.355,41.97,Treino 5x5,20.825555555555557,38.983333333333334
315392.0,315392.0,19.444,41.63,Treino 5x5,20.445777777777778,39.715555555555554
317440.0,317440.0,21.604,37.43,Treino 5x5,20.246888888888886,40.102222222222224
319488.0,319488.0,22.207,36.46,Treino 5x5,20.284000000000002,40.08555555555555
321536.0,321536.0,21.682,37.79,Treino 5x5,20.41133333333333,39.92333333333333
323584.0,323584.0,22.431,34.87,Treino 5x5,20.496444444444446,39.61222222222222
325632.0,325632.0,19.831,39.44,Treino 5x5,20.46211111111111,39.464444444444446
