Modelo,Ambiente,Max steps,Full Coverage,Average Coverage,Average Steps
Gladiador_2020,5x5,200,99.9,100.0,28.4
Gladiador_2020,10x10,500,98.9,99.98,151.7
Gladiador_2020,20x20,2000,87.7,99.92,1067.8
Gladiador_2020,20x20,2400,88.4,99.93,1143.2
Imperador_20X20,5x5,200,100.0,100.0,25.3
MERLIN_2020,5x5,200,99.9,100.0,29.3
MERLIN_2020,10x10,500,99.1,99.94,141.4
MERLIN_2020,20x20,1000,75.2,99.78,747.2
MERLIN_2020,20x20,1500,90.3,99.95,820.4
Imperador_20X20,10x10,500,99.6,99.99,110.7
Imperador_20X20,20x20,1000,98.0,99.98,510.2
Imperador_20X20,20x20,1500,99.8,100.0,507.4
